group,age,income,credit_score,debt_ratio,employment_years,approved
Group_B,59,33145.15,725,0.127,2.9,1
Group_B,49,68899.98,830,0.35,11.2,1
Group_A,49,73025.05,627,0.155,11.6,1
Group_A,36,101407.38,738,0.285,5.0,1
Group_A,30,79357.8,609,0.252,6.1,0
Group_B,50,25814.83,567,0.263,2.3,1
Group_B,45,61411.73,538,0.257,11.9,0
Group_A,59,92604.75,718,0.504,0.0,1
Group_A,40,71223.88,693,0.292,8.1,1
Group_A,25,65915.74,646,0.155,3.6,1
Group_A,21,76204.12,556,0.187,1.6,0
Group_B,50,48797.19,632,0.355,0.0,1
Group_B,23,68605.62,680,0.519,5.1,1
Group_B,34,55491.58,736,0.065,0.9,1
Group_A,50,59646.78,679,0.162,6.2,1
Group_A,24,74912.18,698,0.261,13.1,1
Group_B,38,43319.16,654,0.101,6.8,1
Group_B,57,83183.68,802,0.273,14.0,1
Group_B,45,52389.38,609,0.314,2.1,0
Group_B,21,64691.93,631,0.383,0.9,0
Group_A,35,34790.86,646,0.395,1.9,0
Group_B,29,72957.07,718,0.29,5.7,1
Group_A,35,86037.07,607,0.614,16.9,1
Group_A,44,50736.45,690,0.139,0.0,1
Group_A,24,40015.98,692,0.506,8.5,1
Group_A,32,65003.7,631,0.368,3.2,1
Group_B,57,86186.59,703,0.104,5.1,1
Group_A,57,33902.58,609,0.168,1.0,1
Group_B,26,40086.45,602,0.459,9.5,0
Group_B,59,51824.59,687,0.438,5.8,1
Group_A,44,45233.81,564,0.182,10.3,0
Group_A,31,45290.66,530,0.19,6.7,1
Group_B,33,22305.83,717,0.186,0.0,1
Group_A,54,70603.03,753,0.389,10.4,1
Group_A,45,66096.97,647,0.216,0.0,1
Group_A,27,29420.71,633,0.49,0.0,1
Group_A,24,86229.52,750,0.245,2.3,1
Group_B,28,90259.66,600,0.708,2.4,1
Group_B,40,46483.7,585,0.267,11.6,0
Group_B,49,80997.87,730,0.265,5.3,1
Group_B,30,49686.04,681,0.301,11.0,1
Group_B,54,63260.1,755,0.211,3.7,1
Group_A,46,44956.28,530,0.363,7.3,1
Group_B,23,99856.53,582,0.53,7.9,1
Group_B,26,54671.69,681,0.235,8.8,1
Group_B,25,62276.08,709,0.232,4.1,1
Group_B,25,47617.13,739,0.163,4.5,1
Group_A,43,93503.68,692,0.436,4.8,1
Group_A,29,93959.06,692,0.251,0.0,1
Group_A,55,89356.73,653,0.285,5.7,1
Group_A,40,77215.93,791,0.158,4.5,1
Group_B,55,48753.79,603,0.162,8.3,0
Group_B,38,74901.3,705,0.074,6.4,1
Group_A,37,59873.23,611,0.306,11.3,1
Group_B,44,83623.36,717,0.206,6.3,1
Group_A,23,80086.24,607,0.122,3.8,1
Group_A,52,48313.22,732,0.461,6.2,0
Group_A,55,77060.86,688,0.274,8.9,1
Group_A,58,72276.62,802,0.184,0.0,1
Group_B,33,20000.0,660,0.335,3.1,0
Group_A,45,74416.86,710,0.419,3.2,1
Group_B,29,52227.68,625,0.184,7.6,1
Group_B,24,44051.24,660,0.105,8.1,0
Group_A,34,44821.31,687,0.227,6.4,1
Group_B,57,57565.63,573,0.218,0.0,0
Group_B,54,68641.07,581,0.387,0.0,1
Group_A,31,35421.68,722,0.496,5.0,0
Group_A,23,63417.26,670,0.683,4.0,1
Group_A,48,70381.65,638,0.412,6.0,0
Group_A,49,93512.5,628,0.196,4.1,1
Group_A,29,40619.58,631,0.021,12.1,1
Group_B,23,53706.98,688,0.317,0.0,1
Group_B,45,64709.93,711,0.088,7.2,1
Group_A,54,80653.37,534,0.347,9.3,1
Group_A,32,54523.97,779,0.298,8.8,1
Group_B,29,81575.54,774,0.121,9.1,1
Group_A,35,25127.48,517,0.242,9.7,0
Group_A,60,37439.73,756,0.372,3.6,1
Group_A,45,66275.6,754,0.346,1.6,0
Group_B,25,34605.16,680,0.283,0.0,1
Group_A,31,38859.53,589,0.036,4.5,1
Group_B,54,50500.02,751,0.453,2.9,1
Group_B,44,73885.9,663,0.33,10.6,1
Group_A,35,25872.63,718,0.26,4.8,1
Group_B,58,63065.37,835,0.308,1.9,1
Group_A,28,78593.35,698,0.196,1.2,1
Group_B,25,56490.99,616,0.751,14.0,0
Group_B,46,53361.06,656,0.374,5.9,1
Group_B,38,67231.88,625,0.429,2.9,1
Group_A,26,56542.0,710,0.485,6.5,1
Group_B,57,85029.0,624,0.156,13.6,1
Group_A,33,39994.57,647,0.114,4.4,1
Group_A,48,59070.41,590,0.238,8.7,1
Group_A,25,63702.35,671,0.56,10.7,1
Group_B,33,53187.83,692,0.164,0.0,1
Group_B,37,20000.0,492,0.207,3.4,0
Group_A,60,57103.71,698,0.352,10.2,1
Group_B,52,76203.19,677,0.467,3.2,1
Group_A,49,74005.97,626,0.308,7.7,1
Group_B,23,66386.01,822,0.166,3.0,1
Group_A,60,40238.48,747,0.329,4.2,1
Group_B,54,67115.57,603,0.222,3.7,1
Group_A,60,49678.12,739,0.075,8.5,1
Group_B,47,66362.69,767,0.214,6.8,1
Group_A,33,62187.09,689,0.4,6.4,1
Group_A,53,42425.25,705,0.257,16.0,1
Group_A,26,43935.79,704,0.132,13.0,1
Group_B,44,66390.4,534,0.679,0.0,0
Group_B,39,56019.96,667,0.223,4.2,1
Group_A,36,44874.93,663,0.115,15.7,1
Group_B,60,43389.06,780,0.232,3.7,1
Group_B,48,54531.04,703,0.275,14.4,1
Group_B,53,88225.89,659,0.138,4.3,1
Group_B,33,50530.6,674,0.272,5.1,1
Group_A,45,59747.65,752,0.251,9.5,1
Group_A,56,61829.6,667,0.206,5.6,1
Group_B,47,39641.52,631,0.269,8.0,0
Group_B,58,28269.02,661,0.179,12.3,0
Group_B,27,41520.47,746,0.252,9.0,0
Group_A,25,64447.39,715,0.23,6.6,1
Group_A,51,61571.96,683,0.285,12.7,1
Group_B,43,72643.32,693,0.205,9.5,1
Group_B,30,61741.5,641,0.506,3.1,0
Group_B,52,58028.11,666,0.259,13.9,1
Group_B,50,49127.78,634,0.054,8.6,1
Group_B,59,75922.92,659,0.27,5.1,1
Group_A,51,43454.76,774,0.232,0.0,1
Group_A,38,40012.81,605,0.407,0.5,0
Group_B,56,70207.0,632,0.652,12.8,1
Group_B,22,36003.17,592,0.214,13.0,1
Group_A,34,103466.24,577,0.657,6.3,0
Group_A,33,61439.88,667,0.424,0.0,1
Group_B,49,66262.31,637,0.253,1.7,1
Group_A,32,45448.44,803,0.281,0.0,1
Group_A,59,54325.23,660,0.556,0.0,0
Group_B,22,52318.37,770,0.385,14.1,1
Group_B,52,50246.97,748,0.187,14.2,1
Group_B,33,71393.31,665,0.438,1.5,1
Group_A,47,51907.63,828,0.382,6.0,1
Group_B,37,78315.02,699,0.357,0.9,0
Group_A,60,107937.28,786,0.424,5.9,1
Group_A,51,54680.26,778,0.123,12.6,1
Group_B,54,62741.68,709,0.317,10.3,1
Group_B,44,66830.68,733,0.178,9.2,0
Group_B,55,92607.09,724,0.512,5.2,1
Group_B,26,58512.34,600,0.389,11.0,0
Group_B,39,45077.7,684,0.45,8.6,0
Group_A,50,37205.87,755,0.5,7.6,1
Group_A,27,58956.29,787,0.289,5.5,1
Group_A,30,51929.16,630,0.363,7.3,1
Group_A,52,96180.17,717,0.186,7.2,1
Group_B,54,91857.52,691,0.231,3.8,1
Group_A,48,41381.29,672,0.349,2.9,1
Group_B,35,47206.32,705,0.244,2.0,1
Group_B,50,61327.86,695,0.411,2.3,1
Group_B,57,85150.08,718,0.246,5.2,1
Group_B,49,61026.24,781,0.038,4.6,1
Group_B,42,48349.67,735,0.562,3.5,1
Group_A,24,58940.13,702,0.129,3.2,1
Group_A,40,48687.27,811,0.402,7.2,1
Group_B,52,70844.59,758,0.172,11.5,1
Group_A,56,47237.39,674,0.17,6.0,1
Group_A,24,50812.15,595,0.262,5.7,1
Group_B,47,80914.81,611,0.06,2.3,1
Group_A,37,46169.43,745,0.518,5.1,1
Group_B,32,33969.7,636,0.123,10.8,1
Group_B,42,61709.89,609,0.161,10.1,1
Group_B,37,53511.48,627,0.068,9.9,1
Group_A,30,69205.48,632,0.103,9.7,1
Group_A,21,65714.49,740,0.243,7.7,1
Group_B,42,59425.47,669,0.383,7.6,0
Group_A,46,58901.22,584,0.514,7.0,0
Group_B,38,46754.55,682,0.133,4.3,1
Group_B,34,61500.25,696,0.092,6.3,1
Group_B,49,75863.13,646,0.145,6.9,1
Group_A,32,42477.96,761,0.377,8.5,1
Group_A,56,59902.85,651,0.134,6.4,1
Group_B,55,78691.0,758,0.319,14.4,1
Group_A,32,69097.63,722,0.441,1.2,1
Group_A,27,83570.51,745,0.096,9.0,1
Group_B,49,49773.44,603,0.127,5.8,0
Group_B,31,27046.17,687,0.322,6.0,0
Group_B,53,63611.73,676,0.455,2.7,1
Group_B,26,66526.27,580,0.404,10.1,0
Group_A,35,84631.6,757,0.045,8.6,1
Group_B,52,81386.62,623,0.809,9.3,0
Group_B,31,69661.39,637,0.376,6.7,1
Group_A,43,73777.02,609,0.186,4.7,1
Group_B,46,56547.21,729,0.355,5.7,1
Group_B,54,38055.94,573,0.172,7.7,1
Group_B,54,62118.98,723,0.402,0.0,0
Group_B,49,77686.32,753,0.187,9.5,1
Group_B,24,71814.5,718,0.064,15.7,1
Group_A,37,75008.53,730,0.322,7.9,1
Group_A,55,52300.4,733,0.333,4.9,1
Group_B,33,55220.16,614,0.362,5.4,1
Group_B,59,68701.66,780,0.116,8.8,1
Group_B,35,50162.87,648,0.424,5.0,0
Group_B,49,50717.09,675,0.373,9.5,0
Group_B,49,65363.68,657,0.183,5.3,0
Group_B,31,73696.29,714,0.228,12.9,1
Group_B,52,56408.48,642,0.528,12.7,1
Group_B,22,39062.59,685,0.287,4.7,1
Group_B,34,46755.53,594,0.451,5.7,0
Group_B,40,63666.1,762,0.33,5.9,1
Group_B,42,63447.38,727,0.56,6.0,0
Group_A,31,64342.29,660,0.309,2.2,1
Group_A,47,69383.32,647,0.441,1.7,0
Group_A,23,60104.59,725,0.292,11.0,1
Group_B,37,64771.01,630,0.312,10.4,0
Group_A,48,59189.52,689,0.313,10.3,1
Group_A,49,80677.2,761,0.076,5.7,1
Group_B,41,85782.16,623,0.42,13.6,1
Group_A,36,38597.8,706,0.259,5.9,1
Group_B,57,55405.47,702,0.186,9.5,1
Group_A,40,60589.04,673,0.12,0.4,1
Group_A,26,55195.54,645,0.043,5.1,1
Group_B,39,92272.61,765,0.606,5.4,1
Group_A,25,64031.2,638,0.321,5.7,0
Group_A,23,45503.31,553,0.242,0.7,0
Group_B,21,70735.96,725,0.19,8.8,1
Group_B,58,64877.54,596,0.383,10.1,1
Group_A,35,65475.47,728,0.312,3.0,1
Group_B,54,92541.77,773,0.21,1.4,1
Group_A,55,66314.13,724,0.107,2.9,1
Group_A,45,54534.09,755,0.261,8.0,1
Group_B,44,24805.02,821,0.658,3.6,1
Group_B,32,57022.82,748,0.239,5.5,1
Group_B,38,83507.46,703,0.322,1.7,1
Group_B,35,58358.96,794,0.191,13.9,1
Group_B,36,20000.0,803,0.371,6.3,1
Group_B,47,51029.48,804,0.216,10.6,1
Group_A,28,77868.39,646,0.173,8.0,1
Group_B,45,69824.71,585,0.51,5.8,1
Group_A,37,44882.14,641,0.089,5.6,1
Group_A,49,49824.87,729,0.626,3.1,1
Group_A,28,52607.24,691,0.283,4.2,1
Group_A,35,48071.15,666,0.424,2.0,1
Group_B,47,23465.87,719,0.311,1.5,0
Group_B,27,73744.64,577,0.086,14.3,1
Group_B,23,82627.08,690,0.274,7.1,1
Group_A,49,32667.92,758,0.15,11.9,1
Group_A,44,82389.35,718,0.294,2.8,1
Group_A,23,58145.58,728,0.265,1.0,0
Group_A,40,82052.38,792,0.094,2.1,1
Group_B,35,60683.11,675,0.661,4.3,1
Group_B,45,62439.8,634,0.523,6.1,1
Group_B,50,66703.82,763,0.195,5.4,1
Group_A,34,45778.81,762,0.232,2.9,1
Group_B,27,81504.13,719,0.198,6.4,1
Group_B,37,39815.15,669,0.263,6.7,1
Group_B,40,52762.8,680,0.131,8.8,1
Group_B,56,69436.76,591,0.258,11.9,1
Group_A,29,50834.49,758,0.227,4.5,1
Group_A,58,73995.56,755,0.36,10.9,1
Group_A,42,84765.59,588,0.58,6.3,1
Group_B,22,78225.83,741,0.644,0.0,1
Group_A,44,25149.92,708,0.284,13.1,1
Group_A,28,62265.25,608,0.508,15.1,1
Group_A,31,78516.29,596,0.701,8.5,1
Group_A,33,36298.52,706,0.209,6.4,1
Group_B,37,73024.99,652,0.099,4.9,1
Group_B,28,72014.29,807,0.156,4.1,1
Group_A,41,38182.38,747,0.047,10.8,1
Group_A,38,75016.19,713,0.58,5.9,1
Group_A,50,64908.56,717,0.432,12.7,1
Group_A,38,71706.87,773,0.527,6.1,1
Group_A,51,42606.38,739,0.399,4.4,1
Group_A,58,62702.45,715,0.083,3.6,1
Group_A,52,29312.19,611,0.247,3.0,1
Group_B,31,20000.0,850,0.568,8.1,1
Group_B,45,62534.91,603,0.391,0.8,1
Group_A,53,79810.76,658,0.333,2.7,1
Group_A,58,64552.86,564,0.113,11.3,1
Group_B,28,58857.97,718,0.064,2.2,1
Group_B,31,56624.39,691,0.332,9.5,1
Group_B,42,43033.82,734,0.502,0.0,1
Group_B,44,56006.5,558,0.57,11.8,0
Group_A,37,67590.32,758,0.278,0.9,1
Group_A,32,52166.0,623,0.643,2.5,1
Group_B,52,73510.56,670,0.109,8.7,1
Group_A,35,63527.55,745,0.514,7.1,1
Group_B,36,65705.63,698,0.121,9.6,1
Group_B,42,75995.93,703,0.113,0.9,1
Group_B,48,50518.4,736,0.356,4.9,0
Group_A,40,71868.85,710,0.186,3.5,1
Group_B,53,53043.42,656,0.182,1.6,1
Group_A,30,66111.26,668,0.305,8.4,1
Group_B,60,48376.12,695,0.399,9.8,0
Group_B,52,43607.33,617,0.367,4.7,1
Group_A,53,61653.57,750,0.106,12.1,1
Group_B,22,26066.4,700,0.47,2.9,1
Group_B,53,54667.19,685,0.565,12.0,1
Group_A,53,31085.21,763,0.509,8.2,1
Group_A,33,74026.21,672,0.208,1.1,1
Group_A,50,78901.99,667,0.299,13.9,1
Group_A,53,44448.88,646,0.162,4.2,1
Group_A,33,67709.63,704,0.355,10.8,1
Group_B,46,76184.44,702,0.394,6.6,1
Group_A,42,76244.45,633,0.392,7.5,1
Group_A,59,63860.12,668,0.524,9.6,0
Group_B,22,73217.48,634,0.219,9.4,1
Group_A,58,48312.04,631,0.438,4.6,0
Group_B,59,61496.2,559,0.465,8.1,0
Group_A,46,51592.14,664,0.219,7.8,1
Group_A,35,46791.82,561,0.171,6.9,1
Group_B,54,60649.14,648,0.635,5.2,1
Group_B,60,66255.55,637,0.411,6.8,1
Group_B,31,80943.16,754,0.302,13.9,1
Group_B,23,64772.8,609,0.192,4.8,1
Group_B,26,71554.75,627,0.317,10.8,1
Group_A,29,71759.1,653,0.055,3.5,1
Group_A,26,108375.62,639,0.116,2.5,1
Group_B,29,27419.42,776,0.179,19.1,1
Group_B,59,47617.19,600,0.481,8.2,1
Group_B,51,86533.01,653,0.437,8.3,0
Group_A,52,53663.76,703,0.442,8.4,1
Group_A,32,75944.46,742,0.07,11.6,1
Group_B,28,64140.17,653,0.165,7.6,1
Group_A,28,97893.64,546,0.502,9.3,1
Group_B,48,39965.02,669,0.28,1.8,1
Group_B,40,81992.41,775,0.589,9.9,1
Group_A,27,91492.46,700,0.088,5.1,1
Group_B,31,41740.46,697,0.15,8.7,1
Group_B,40,74091.66,606,0.441,0.0,0
Group_A,36,42621.04,598,0.159,8.5,1
Group_B,24,60542.91,681,0.287,0.0,1
Group_B,26,55381.42,580,0.342,4.9,0
Group_B,42,20000.0,735,0.451,0.0,1
Group_A,46,67636.22,621,0.167,8.5,1
Group_B,23,62580.11,678,0.176,6.3,0
Group_A,34,86623.42,548,0.506,2.9,0
Group_A,31,71000.59,652,0.618,11.7,0
Group_B,38,101235.91,597,0.293,2.4,0
Group_A,32,61926.76,517,0.423,0.0,1
Group_A,43,58100.46,718,0.254,8.1,1
Group_B,32,56681.58,795,0.168,0.0,1
Group_B,33,52087.4,759,0.397,2.5,0
Group_B,45,20260.48,728,0.262,3.9,1
Group_B,39,56036.5,651,0.321,0.3,1
Group_A,56,22778.61,736,0.174,4.0,1
Group_A,28,68136.6,766,0.369,0.4,1
Group_A,49,37678.91,690,0.167,6.6,1
Group_B,52,43902.01,597,0.705,1.1,0
Group_B,38,47950.62,645,0.31,6.1,0
Group_B,26,56311.17,799,0.36,10.6,1
Group_B,38,60123.63,675,0.376,9.1,1
Group_A,39,79520.63,447,0.096,5.7,0
Group_A,42,49604.46,577,0.34,2.0,1
Group_A,57,68642.63,650,0.278,6.6,1
Group_B,52,109155.61,753,0.361,3.2,1
Group_A,23,66792.31,661,0.221,6.8,1
Group_B,48,56751.18,754,0.322,0.0,1
Group_A,30,45975.27,643,0.052,9.2,1
Group_A,55,56502.03,542,0.453,6.1,1
Group_A,49,44048.03,646,0.467,14.8,1
Group_B,35,64835.91,704,0.451,11.2,1
Group_B,53,61863.79,698,0.403,8.3,1
Group_A,27,21080.05,592,0.119,5.5,0
Group_A,32,59665.96,655,0.431,3.1,0
Group_B,50,79370.63,850,0.339,9.8,1
Group_A,41,52815.99,594,0.517,5.1,1
Group_B,51,48247.86,726,0.055,10.7,1
Group_B,44,35201.39,533,0.126,7.6,0
Group_A,40,26556.14,740,0.203,7.6,1
Group_A,57,74964.29,618,0.432,8.4,0
Group_B,24,56733.39,708,0.604,2.3,1
Group_A,48,73896.39,590,0.399,1.9,0
Group_A,40,87563.83,700,0.179,1.8,1
Group_B,44,76582.46,616,0.134,10.2,1
Group_B,52,50237.3,630,0.183,2.2,1
Group_B,56,62607.62,711,0.142,2.7,1
Group_B,54,48934.09,650,0.247,8.2,0
Group_A,56,47250.81,707,0.182,5.0,1
Group_A,22,66170.67,667,0.228,4.5,1
Group_B,35,45018.71,685,0.181,4.1,1
Group_B,54,20235.27,711,0.04,0.0,1
Group_A,56,44013.34,655,0.409,2.1,1
Group_B,26,54476.14,610,0.361,10.7,1
Group_A,59,87385.17,643,0.223,3.8,1
Group_A,32,51163.13,764,0.407,0.0,0
Group_A,23,69214.63,688,0.099,2.0,1
Group_A,38,56970.45,621,0.552,7.4,0
Group_A,60,82075.29,708,0.484,7.4,1
Group_A,41,80827.73,713,0.254,4.8,1
Group_A,35,81171.15,716,0.166,3.2,1
Group_B,53,28788.3,612,0.452,0.4,0
Group_B,55,63721.03,632,0.088,7.5,1
Group_B,46,73660.89,633,0.306,9.4,1
Group_B,28,66867.69,655,0.111,11.2,1
Group_A,56,71458.73,718,0.484,1.6,1
Group_A,50,61050.32,701,0.052,11.5,1
Group_B,43,46593.88,706,0.319,5.8,1
Group_A,34,29452.25,775,0.161,6.1,1
Group_B,34,48379.75,728,0.39,9.6,1
Group_A,22,108205.98,670,0.198,3.8,1
Group_B,57,51258.28,597,0.298,0.0,0
Group_A,25,24730.98,630,0.341,8.8,0
Group_B,58,73187.69,662,0.262,7.4,1
Group_B,34,75398.28,738,0.205,4.6,0
Group_B,59,83171.84,678,0.415,8.5,1
Group_A,45,68477.61,634,0.363,9.3,1
Group_B,40,75220.83,629,0.242,0.0,0
Group_B,22,93123.91,675,0.305,6.1,1
Group_B,59,46581.48,742,0.136,0.0,0
Group_B,26,43010.69,791,0.289,5.5,1
Group_B,37,40297.44,666,0.203,4.5,0
Group_A,45,55216.15,677,0.168,8.0,1
Group_B,48,85801.6,595,0.245,1.7,0
Group_B,22,69505.23,816,0.138,4.3,1
Group_B,55,68796.46,582,0.533,0.0,1
Group_A,57,27252.46,762,0.087,8.2,1
Group_A,25,47522.64,654,0.472,5.6,1
Group_B,21,26958.16,638,0.108,6.3,1
Group_B,60,81082.42,602,0.55,0.0,1
Group_A,32,88541.64,849,0.084,7.6,1
Group_B,56,74032.2,696,0.161,12.6,1
Group_A,43,42237.85,681,0.594,5.3,1
Group_A,51,86676.4,742,0.748,8.6,1
Group_A,31,55441.41,634,0.311,2.5,1
Group_A,30,38139.73,680,0.395,5.7,1
Group_B,23,42640.72,684,0.369,0.0,1
Group_A,34,52257.18,644,0.14,9.2,1
Group_B,36,60892.41,764,0.272,6.6,1
Group_B,30,57095.8,665,0.319,1.1,1
Group_B,49,34571.97,571,0.036,2.8,1
Group_B,30,81839.7,659,0.367,6.2,0
Group_A,32,57289.09,697,0.114,9.7,1
Group_B,50,47152.43,617,0.114,11.9,1
Group_B,21,79985.44,623,0.159,5.5,1
Group_A,25,38698.69,642,0.444,0.5,1
Group_B,40,30679.98,765,0.199,7.0,1
Group_B,28,82904.77,646,0.425,13.1,1
Group_B,32,94044.98,780,0.397,0.0,1
Group_B,21,51682.27,637,0.536,2.2,1
Group_B,40,59172.54,703,0.183,8.4,1
Group_A,48,39360.04,649,0.252,6.6,1
Group_B,57,60098.87,733,0.153,3.8,0
Group_B,57,51437.31,602,0.092,6.9,1
Group_A,32,58161.69,732,0.584,9.9,1
Group_A,57,67366.65,688,0.305,5.6,1
Group_A,48,40233.38,635,0.142,5.3,1
Group_B,35,53487.4,668,0.135,8.4,1
Group_B,26,27531.93,787,0.235,4.9,1
Group_A,40,53610.23,690,0.527,10.6,1
Group_B,34,58318.19,631,0.57,14.1,1
Group_A,22,64121.68,596,0.639,2.4,0
Group_B,29,64312.38,715,0.5,1.0,1
Group_B,57,76270.61,694,0.275,7.5,0
Group_B,40,32286.0,729,0.582,0.9,1
Group_A,46,33247.01,578,0.42,0.8,0
Group_A,49,69521.24,598,0.494,0.0,0
Group_A,21,23298.7,760,0.501,4.5,0
Group_A,55,63299.4,703,0.159,5.9,1
Group_B,26,38754.73,717,0.503,3.9,0
Group_B,57,88310.66,613,0.716,11.6,1
Group_B,25,64508.14,611,0.148,11.3,1
Group_B,53,56055.19,749,0.155,13.7,1
Group_B,34,82098.98,753,0.398,6.2,1
Group_B,32,40858.76,604,0.091,10.7,0
Group_B,40,44278.63,590,0.47,7.2,1
Group_B,44,37293.81,672,0.191,6.8,1
Group_A,54,44429.29,624,0.483,4.1,1
Group_A,45,61100.08,623,0.362,0.0,1
Group_A,49,68891.13,592,0.236,8.5,1
Group_B,59,77305.59,647,0.527,10.6,1
Group_B,51,27154.97,599,0.285,0.0,0
Group_A,43,56906.47,603,0.549,6.0,1
Group_B,58,40053.04,701,0.291,10.0,0
Group_B,40,56304.83,676,0.289,4.6,1
Group_A,43,102014.94,714,0.194,10.8,1
Group_A,36,65253.51,565,0.257,5.4,1
Group_B,28,76190.37,681,0.285,3.9,1
Group_B,41,95292.44,825,0.514,11.0,1
Group_B,21,80292.45,654,0.152,2.3,1
Group_B,28,51937.54,738,0.129,3.1,1
Group_B,49,37035.02,737,0.154,2.4,1
Group_B,52,59457.4,741,0.385,1.4,1
Group_B,58,49781.3,692,0.302,6.6,1
Group_B,25,32558.62,720,0.344,3.9,0
Group_A,42,64336.65,729,0.62,8.0,1
Group_A,54,64785.95,724,0.161,0.0,1
Group_A,21,91844.1,602,0.359,1.5,1
Group_B,46,53488.26,560,0.461,6.2,0
Group_B,30,65042.19,571,0.373,11.9,1
Group_B,50,48021.26,661,0.103,7.5,1
Group_A,38,75717.05,722,0.491,3.6,1
Group_A,37,57756.88,603,0.374,0.0,0
Group_A,46,38893.35,745,0.152,3.4,1
Group_A,28,59757.51,645,0.557,5.8,1
Group_B,60,67029.41,646,0.096,0.0,1
Group_A,32,64594.92,621,0.068,1.1,1
Group_A,47,78826.14,548,0.292,3.0,0
Group_B,28,33934.99,696,0.241,5.0,1
Group_A,45,44830.63,800,0.231,5.8,1
Group_B,24,71516.17,676,0.434,3.6,1
Group_B,53,46945.16,550,0.361,8.0,1
Group_A,21,64328.48,735,0.327,6.5,1
Group_B,39,20000.0,566,0.045,4.5,1
Group_B,51,108887.04,595,0.479,8.6,1
Group_B,36,55145.07,663,0.337,8.2,1
Group_A,34,81491.21,689,0.357,0.2,1
Group_B,25,53935.84,609,0.023,5.9,0
Group_A,46,67464.57,661,0.648,9.6,0
Group_A,48,86854.55,730,0.221,10.2,1
Group_A,22,80984.51,740,0.059,7.5,1
